product_id,product_name,product_type,operating_system,processor_brand,processor_name,dedicated_graphic_memory_capacity,system_memory,system_memory_type,description,attrs_indexes_dict,overlaps
127819797,Acer Nitro 7 Laptop + Nitro Backpack,laptop,Windows 10,Intel,Core i5,6 GB,8 GB,,"Pattern name: Laptop + Nitro Backpack; Acer Nitro 7 AN715-51 15.6"" Full HD IPS Thin and Light Gaming Notebook(Intel Core i5-9300H processor/8GB Ram/1TB HDD + 256GB SSD/Windows 10 Home 64 bit/6GB of 1660Ti Graphics), Obsidian Black; Enjoy premium gaming experience with our latest Nitro 7 Series of Notebooks. It is as attractive to play on as it is to look at. It gives you complete control of your game with the best quality graphics along with a fast SSD which comes pre-loaded with this product. In terms of its look, touch and feel, this series of notebooks have gone beyond expectations. The texture along with the display quality is one that every gamer craves for. The audio quality supported by 'Waves Maxx Audio' along with our in-house Acer TrueHarmony technology, Nitro 7 is all set to create history in the Gaming Notebooks segment . It also features a 15.6-ich FHD IPS display giving gamers attractive visual experience while gaming; Acer Nitro Bagpack NBG810 - Black; Duty calls. Your pack is ready. Built to take on the environments with plenty of dedicated compartments to stow the heavy, the light, the big and the small, this backpack was made for war. So brandish your gear and suit up.",{},[]
105017003,"HP Chromebook x360 8th Gen Intel Core i3 Processor 14-Inch Thin and Light FHD (8GB/64GB eMMC SSD/Chrome OS/Backlit/Touch/Ceramic White/1.6kg), 14-da0003TU  --  laptop - intel i3 + 8gb",laptop,Chrome OS,Intel,Core i3,,8 GB,DDR4,"; Style name:; Intel i3 + 8GB; | Pattern name:; Laptop; ; ; ; Super-fast and incredibly intuitive, the Chromebook x360 helps you make the most of the entire Google android ecosystem, putting millions of apps right at your fingertips. With a modern look and feel, plus four unique modes, this slim PC is designed for everything you do, and so much more.;","{u'processor_name': (38, 40), u'processor_brand': (27, 32), u'system_memory': (84, 87), u'operating_system': (97, 106)}",[]
105017259,HP Chromebook x360 14-Inch Thin and Light FHD (i3/8GB/64GB eMMC SSD/Chrome OS/Backlit/Touch/Ceramic White/1.6kg) 14-da0003TU & Express Backpack  --  laptop + bag - intel i3 + 8gb,laptop,Chrome OS,Intel,Core i3,,8 GB,,"; Style name:; Intel i3 + 8GB; | Pattern name:; Laptop + Bag; ; ; ; HP Chromebook x360 14-Inch Thin and Light FHD (i3/8GB/64GB eMMC SSD/Chrome OS/Backlit/Touch/Ceramic White/1.6kg), 14-da0003TU; Super-fast and incredibly intuitive, the Chromebook x360 helps you make the most of the entire Google android ecosystem, putting millions of apps right at your fingertips. With a modern look and feel, plus four unique modes, this slim PC is designed for everything you do, and so much more.; HP Express 27 ltrs 15.6-inch Laptop Backpack (Black); This Backpack Is Made Of Durable, Heavy-Duty Polyster fabric which weighs only 500 gm and fits utp 15.6 laptop.;","{u'processor_name': (47, 49), u'processor_brand': (164, 169), u'system_memory': (55, 58), u'operating_system': (68, 77)}",[]
119059519,HP Chromebook x360 14-Inch Thin and Light FHD (i3/8GB/64GB eMMC SSD/Chrome OS/Backlit/Touch/Ceramic White/1.6kg) 14-da0003TU & X3500 Wireless Mouse  --  laptop + wireless mouse - intel i3 + 8gb,laptop,Chrome OS,Intel,Core i3,,8 GB,,"; Style name:; Intel i3 + 8GB; | Pattern name:; Laptop + Wireless Mouse; ; ; ; HP X3500 Wireless Mouse (Black); HP invites you to improve the way you connect and communicate, work and play. Built with strict HP standards and guidelines, this world-class HP Wireless Mouse X3500 effortlessly blends sleek, modern design with life-enhancing, advanced features;","{u'processor_name': (47, 49), u'processor_brand': (179, 184), u'system_memory': (55, 58), u'operating_system': (68, 77)}",[]
105017046,HP Chromebook x360 14-Inch Thin and Light FHD (i3/8GB/64GB eMMC SSD/Chrome OS/Backlit/Touch/Ceramic White/1.6kg) 14-da0003TU & X3500 Wireless Mouse & Express Backpack  --  laptop + wireless mouse + bag - intel i3 + 8gb,laptop,Chrome OS,Intel,Core i3,,8 GB,,"; Style name:; Intel i3 + 8GB; | Pattern name:; Laptop + Wireless Mouse + Bag; ; ; ; HP X3500 Wireless Mouse (Black); HP invites you to improve the way you connect and communicate, work and play. Built with strict HP standards and guidelines, this world-class HP Wireless Mouse X3500 effortlessly blends sleek, modern design with life-enhancing, advanced features;","{u'processor_name': (47, 49), u'processor_brand': (204, 209), u'system_memory': (55, 58), u'operating_system': (68, 77)}",[]
127732036,Acer Nitro 7 Laptop + Nitro Backpack,laptop,,Intel,,,8 GB,,"; Pattern name:; Laptop + Nitro Backpack; ; ; ; Acer Nitro 7 AN715-51 15.6"" Full HD IPS Thin and Light Gaming Notebook(Intel Core i5-9300H processor/8GB Ram/1TB HDD + 256GB SSD/Windows 10 Home 64 bit/4GB of 1650 Graphics), Obsidian Black; Enjoy premium gaming experience with our latest Nitro 7 Series of Notebooks. It is as attractive to play on as it is to look at. It gives you complete control of your game with the best quality graphics along with a fast SSD which comes pre-loaded with this product. In terms of its look, touch and feel, this series of notebooks have gone beyond expectations. The texture along with the display quality is one that every gamer craves for. The audio quality supported by 'Waves Maxx Audio' along with our in-house Acer TrueHarmony technology, Nitro 7 is all set to create history in the Gaming Notebooks segment . It also features a 15.6-ich FHD IPS display giving gamers attractive visual experience while gaming; Acer Nitro Bagpack NBG810 - Black; Duty calls. Your pack is ready. Built to take on the environments with plenty of dedicated compartments to stow the heavy, the light, the big and the small, this backpack was made for war. So brandish your gear and suit up.;",{},[]
103098104,Dell Vostro 3568 15.6-inch HD Laptop (Core i3 7th Gen/4GB/1TB HDD/Windows 10 + MS Office/Black),laptop,Windows 10,Intel,Core i3,,4 GB,DDR4,"; Pattern name:; Laptop; ; ; ; Dell Vostro 3568 Laptop with 7th Generation Intel Core i3, 4GB of RAM, 1TB hard disk, Windows 10, MS Office and 15.6-inch, black.;","{u'processor_name': (43, 45), u'system_memory': (54, 57), u'operating_system': (66, 73)}",[]
103100534,ASUS TUF R5|RX560 Logitech G102 Mouse  --  laptop + logitech mouse - 15.6-inch fhd,laptop,Windows 10,AMD,,,8 GB,,"; Size name:; 15.6-inch FHD; | Pattern name:; Laptop + Logitech Mouse; ; ; ; ASUS TUF FX505DY-BQ002T 15.6-inch FHD Gaming Laptop (AMD Ryzen 5-3550H/8GB/1TB HDD/Windows 10/Radeon RX 560X 4GB Graphics/2.20 Kg), Black; Asus TUF gaming FX505 will change the way you look at gaming laptops. It exceeds expectations, boasting impressive hardware and a compact, aggressively-designed chassis that’s exceptionally tough. FX505 has a gaming desktop-inspired keyboard with RED-backlit keys, a highlighted WASD key group, and overstrike technology for fast and precise control. With a cutting-edge IPS-level nano edge display, and a MIL-STD-810G test certified durability, FX505 delivers an immersive gaming experience without breaking the bank. Despite its compact size, FX505 packs the punch of a full-fledged gaming desktop. It’s powered by an Ryzen 5 3550H processors more powerful than the previous generation, this latest processor allows for faster, more efficient multitasking, including simultaneous gaming, recording, and live-streaming. FX505 come with AMD Radeon RX 560X graphics card for vivid visuals and super smooth gameplay whereas with AMD FreeSync, the display’s refresh rate synchronizes with the GPU’s frame rate to reduce lag, minimize stuttering, and eliminate visual tearing. . Asus-exclusive hyper cool technology comprises of the anti-dust cooling (ADC) system and fan over boost technology to ensure exceptional cooling during gaming marathons. Furthermore, cooling is also improved by the patented trapezoid-cut lid and intelligent parallel fan placement. The DTS headphone: X technology delivers immersive, high-fidelity 7.1-channel virtual surround sound for theater-quality audio, even when you’re using a headset.; Logitech G102 Prodigy Optical Gaming mouse with 16.8m LED colors,Built-in Storage Capability for PC/Mac; Play to your full potential by being more accurate than you’ve ever been before. G102 features a new sensor designed in the USA and manufactured in Switzerland. The 200-6000 DPI sensor delivers incredible a",{},[]
118057895,"HP Pavilion x360 dh0044TX 2019 14-inch Laptop (8th Gen i3-8145U/4GB/1TB HDD + 256GB SSD/Windows 10 Home/2GB Graphics), Natural Silver + WD My Passport 1TB Portable External Hard Drive (Black) Combo  --  laptop + 2tb external hard drive",laptop,Windows 10,Intel,Core i3,2 GB,4 GB,,"; Pattern name:; Laptop + 2TB External Hard Drive; ; ; ; WD My Passport 1TB Portable External Hard Drive (Black); My Passport is the trusted, portable storage that perfectly complements your on-the-go lifestyle. Designed to fit in the palm of your hand, there’s plenty of space to store a massive amount of photos, videos, music and documents. Perfectly paired with WD Backup software and password protection, the My Passport drive helps keep your files safe.;","{u'processor_name': (55, 57), u'system_memory': (80, 83), u'operating_system': (88, 95), u'dedicated_graphic_memory_capacity': (104, 107)}",[]
120124076,HP Pavilion x360 dh0044TX (8th Gen i3-8145U/4GB/1TB HDD + 256GB SSD/Win 10/2GB Graphics) & Odyssey Backpack  --  laptop + bag,laptop,,Intel,Core i3,2 GB,4 GB,,"; Pattern name:; Laptop + Bag; ; ; ; HP Odyssey L8J88AA Backpack for 15.6-inch Laptop; The HP 15.6-inch Montego Backpack provides dedicated notebook and tablet storage, comfortable padding, multiple straps and pockets, and distinctively noticeable colour.;","{u'processor_name': (35, 37), u'system_memory': (60, 63), u'dedicated_graphic_memory_capacity': (75, 78)}",[]
