product_id,product_type,product_name,attrs_indexes_dict,battery_type,color,compatible_card,designed_for,display_type,features,graphic_memory,lens_cap_type,lens_mount,lens_type,memory_technology,mount_type,number_of_cores,operating_system,os_architecture,ports,prime_zoom,processor_brand,processor_generation,processor_name,processor_type,ram,sensor_type,shape,ssd_capacity,storage_type,system_memory,system_memory_type,type,video_quality,video_resolution
79823525,all_in_one_pc,HP 290-P0012in Desktop 7th Gen PDC G4560 4GB 1TB Win 10 MSO Wired Keyboard and Mouse One Year Warranty,"{u'system_memory': (41, 44)}",,,,,,,,,,,,,,Windows,,,,Intel,,,,,,,,,4 GB,,,,
7631687,all_in_one_pc,HP 20-c029in AIO Desktop,{},,,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
103391527,all_in_one_pc,"Lenovo Ideacentre 310S-08IGM 90HX0006IN Tower PC (J5005/4GB/1TB/DOS/Integrated Graphics), Silver  --  desktop","{u'color': (90, 96), u'system_memory': (56, 59), u'operating_system': (64, 67)}",,Silver,,,,,,,,,,,,Free DOS,,,,Intel,,,,,,,,,4 GB,,,,
113853224,all_in_one_pc,Lenovo V520 Slim Tower(10NNA01SHF) Gen 7 B250/ i3-7100 3.9G 2C/4GB DDR4 2400/1TB/ ODD/Win 10 HSL/No Wifi+BT/ 85%Efficiency/19.5Monitor,"{u'processor_name': (47, 49), u'system_memory': (63, 66)}",,,,,,,,,,,,,,Windows 10,,,,,,Core i3,,,,,,,4 GB,,,,
131110100,all_in_one_pc,"Lenovo Ideacentre 310S 90HX004MIN Desktop (Celeron J4005/4GB/1TB HDD/DOS/Integrated Graphics), Silver","{u'color': (95, 101), u'processor_name': (43, 50), u'system_memory': (57, 60), u'operating_system': (69, 72)}",,Silver,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
132546411,all_in_one_pc,"HP S01 Slim SO1-pF0111il Desktop (9th Gen i5 9400/8GB/1TB/DOS/Integrated Graphics), Jet Black","{u'color': (88, 93), u'processor_name': (42, 44), u'system_memory': (50, 53), u'operating_system': (58, 61)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel (extracted from unorganised specs),,Core i5,,,,,,,8 GB,,,,
28362413,all_in_one_pc,LENOVO V520 Tower 10NLA011IH Gen7 B250/ i5-7400 3.0G 4C/ 4GB DDR4 2400/ 1TB/ No ODD and OS/ 19.5Monitor/ Internal Speaker,"{u'processor_name': (40, 42), u'system_memory': (57, 60)}",,,,,,,,,,,,,,,,,,,,Core i5,,,,,,,4 GB,,,,
125225943,all_in_one_pc,ASUS Desktop (Pentium/4GB/1TB/Win 10) + 19 inch Monitor  --  desktop + monitor combo,"{u'system_memory': (22, 25)}",,,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
120114336,all_in_one_pc,HITSAN 3IN1 Din Rail LED Display Voltage Current Frequency Meter 80-300V 200-450V 0-100A Voltmeter Ammeter Three in one with Extra CT Color 80 to 300V,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120116759,all_in_one_pc,diymore 3 in 1 Fuse Power Supply Socket Top Quality Three in one Socket for 3D Printer Accessory/Parts,"{u'features': (76, 78)}",,,,,,3D,,,,,,,,,,,,,,,,,,,,,,,,,
125492875,all_in_one_pc,ASUS Desktop (i5-8400 /4GB RAM/1TB HDD/Win 10) + 24 inch Monitor  --  desktop + monitor combo,"{u'processor_name': (14, 16), u'system_memory': (23, 26)}",,,,,,,,,,,,,,Windows 10,,,,Intel (extracted from unorganised specs),,Core i5,,,,,,,4 GB,,,,
125493868,all_in_one_pc,HP Slim Tower Desktop (Pentium/4GB/1TB/DOS) + 19 inch Monitor,"{u'system_memory': (31, 34), u'operating_system': (39, 42)}",,,,,,,,,,,,,,Free DOS,,,,Intel (extracted from unorganised specs),,,,,,,,,4 GB,,,,
125232654,all_in_one_pc,Lenovo Idea Centre 310S Desktop (J5005/4GB/1TB/DOS) + 19 inch Monitor  --  desktop + monitor combo,"{u'system_memory': (39, 42), u'operating_system': (47, 50)}",,,,,,,,,,,,,,Free DOS,,,,Intel (extracted from unorganised specs),,,,,,,,,4 GB,,,,
120144425,all_in_one_pc,XuBa 1 Pair Quickshot Rubber Grip Dual Setting Trigger Lock for Xbox One/Slim Controller,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120144962,all_in_one_pc,XuBa Gaming Over-Ear Headset Headphone with Microphone Bass Earphone for PC PS4 Mobile Phone Xbox One Orange,"{u'color': (102, 108)}",,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120145069,all_in_one_pc,XuBa Gaming Over-Ear Headset Headphone with Microphone Bass Earphone for PC PS4 Mobile Phone Xbox One Blue,"{u'color': (102, 106)}",,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120145169,all_in_one_pc,XuBa Wired Crack Sports Headphone Super Bass 3.5mm Earphone Earbud with Microphone Hands Free Headset White,"{u'color': (102, 107)}",,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7556714,all_in_one_pc,"Core 2 Duo, G31 Motherboard, 2GB DDR2 RAM, 1TB SATA HDD, DVD RW, 15.6"" Monitor/with WiFi (20 inch Monitor)","{u'processor_name': (0, 10), u'system_memory': (29, 32)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Core 2 Duo,,,,,,,2 GB,,,,
7311098,all_in_one_pc,All in one Pc i3 4th Generation,"{u'processor_name': (14, 16)}",,,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
7957010,all_in_one_pc,"LENOVO 300s-08IHH 90F1001SIN INTEL PDC/2GB/500GB/19.5""LED/DOS","{u'processor_brand': (29, 34), u'system_memory': (39, 42), u'operating_system': (58, 61)}",,,,,,,,,,,,,,Free DOS,,,,Intel,,,,,,,,,2 GB,,,,
131033846,all_in_one_pc,"HP S01 Slim SO1-pF0112in Desktop (9th Gen i5 9400/8GB/1TB/Windows 10, Home/Integrated Graphics), Jet Black","{u'color': (101, 106), u'processor_name': (42, 44), u'system_memory': (50, 53), u'operating_system': (58, 65)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,8 GB,,,,
28407596,all_in_one_pc,Lenovo V520 Tower(10NLA01AIG) Gen7 B250/ i3-7100 3.9G 2C/ 4GB DDR4 2400/ 1TB/ No ODD/ Win10P/ 85%Efficiency /19.5Monitor/ Internal Speaker,"{u'processor_name': (41, 43), u'system_memory': (58, 61)}",,,,,,,,,,,,,,Windows 10,,,,,,Core i3,,,,,,,4 GB,,,,
131110202,all_in_one_pc,"Lenovo Ideacentre 310S 90HX004KIN Desktop (Celeron J4005/4GB/1TB HDD/DOS/Integrated Graphics), Silver","{u'color': (95, 101), u'processor_name': (43, 50), u'system_memory': (57, 60), u'operating_system': (69, 72)}",,Silver,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
7837590,all_in_one_pc,"CABTOP All in one PC 20"" With 4GB RAM, 500 GB HDD, LED Full HD, I3 Processor with Gigabyte Mother board","{u'processor_name': (64, 66), u'system_memory': (30, 33), u'features': (55, 62)}",,,,,,Full HD,,,,,,,,Free DOS,,,,Intel,,Core i3,,,,,,,4 GB,,,,
