tag,precision,recall,F1
B-color,0.966,0.987,0.976
B-sensor_type,1.0,1.0,1.0
B-storage_type,0.98,0.969,0.974
I-processor_name,0.988,0.885,0.934
B-processor_name,0.956,0.908,0.932
B-memory_technology,0.894,0.857,0.875
I-video_quality,1.0,0.4,0.571
B-number_of_cores,0.933,0.475,0.629
I-type,0.764,0.84,0.8
I-ram,0.895,0.944,0.919
B-video_resolution,0.937,0.937,0.937
B-processor_type,0.667,0.154,0.25
B-system_memory,0.898,0.963,0.93
B-processor_generation,0.984,0.984,0.984
PAD,0.0,0.0,0.0
B-processor_brand,0.905,0.953,0.928
I-designed_for,0.0,0.0,0.0
B-ram,0.894,0.862,0.877
B-video_quality,0.816,0.851,0.833
B-graphic_memory,0.0,0.0,0.0
I-system_memory,0.762,1.0,0.865
B-system_memory_type,0.972,0.745,0.843
B-mount_type,0.838,0.77,0.803
I-color,0.0,0.0,0.0
B-type,0.844,0.83,0.837
I-processor_generation,1.0,0.986,0.993
B-lens_type,1.0,0.588,0.741
I-processor_type,0.8,0.8,0.8
B-shape,0.833,0.833,0.833
O,0.985,0.988,0.986
B-ssd_capacity,0.824,0.955,0.884
I-ssd_capacity,0.844,0.864,0.854
B-lens_cap_type,0.985,0.889,0.934
B-os_architecture,0.889,1.0,0.941
B-designed_for,0.846,0.647,0.733
B-prime_zoom,0.909,0.909,0.909
I-operating_system,1.0,0.6,0.75
B-operating_system,0.951,0.983,0.967
I-os_architecture,1.0,1.0,1.0
I-mount_type,0.833,0.312,0.455
B-display_type,1.0,0.644,0.783
